Date,ASML.AS,BESI.AS,IFX.DE,HSBA.L,INGA.AS,ISP.MI,ABI.BR,RI.PA,BN.PA,TSCO.L
2020-01-01,673.3408203125,129.28753662109375,31.115726470947266,785.0003051757812,14.253754615783691,3.7302615642547607,47.422950744628906,106.32508087158203,63.30030059814453,368.2054443359375
2020-01-02,255.62606811523438,29.621206283569336,19.56304359436035,593.4956665039062,8.11452865600586,1.6387213468551636,69.26325225830078,138.27989196777344,60.48656463623047,323.26568603515625
2020-01-03,254.2501678466797,29.26551628112793,19.28404426574707,592.7975463867188,8.041081428527832,1.6170414686203003,69.17955017089844,139.0128936767578,61.00981903076172,322.3810119628906
2020-01-04,254.2501678466797,29.26551628112793,19.28404426574707,592.7975463867188,8.041081428527832,1.6170414686203003,69.17955017089844,139.0128936767578,61.00981903076172,322.3810119628906
2020-01-05,254.2501678466797,29.26551628112793,19.28404426574707,592.7975463867188,8.041081428527832,1.6170414686203003,69.17955017089844,139.0128936767578,61.00981903076172,322.3810119628906
2020-01-06,249.6482391357422,28.27290153503418,18.957761764526367,583.6223754882812,7.9779157638549805,1.6105031967163086,69.05868530273438,139.0128936767578,61.124290466308594,320.9908752441406
2020-01-07,254.67715454101562,28.94291877746582,19.89879035949707,581.827392578125,8.023451805114746,1.61394464969635,68.86341857910156,138.45237731933594,60.551963806152344,321.6227722167969
2020-01-08,256.8596496582031,29.26551628112793,20.154142379760742,579.7328491210938,8.136564254760742,1.6091268062591553,68.3055191040039,137.5037841796875,59.3255500793457,317.1996765136719
2020-01-09,258.4726867675781,29.604658126831055,20.456787109375,586.5145263671875,8.08367919921875,1.6339036226272583,68.13815307617188,137.7193603515625,59.44001770019531,320.1062927246094
2020-01-10,254.86700439453125,29.16625213623047,20.2581787109375,583.02392578125,7.964694499969482,1.6222034692764282,68.46359252929688,137.0294647216797,59.358253479003906,315.17767333984375
2020-01-11,254.86700439453125,29.16625213623047,20.2581787109375,583.02392578125,7.964694499969482,1.6222034692764282,68.46359252929688,137.0294647216797,59.358253479003906,315.17767333984375
2020-01-12,254.86700439453125,29.16625213623047,20.2581787109375,583.02392578125,7.964694499969482,1.6222034692764282,68.46359252929688,137.0294647216797,59.358253479003906,315.17767333984375
2020-01-13,255.2939910888672,29.033905029296875,20.480432510375977,589.2072143554688,7.8824334144592285,1.6111915111541748,67.5616455078125,140.39266967773438,59.08026885986328,314.1667175292969
2020-01-14,255.72100830078125,29.16625213623047,20.18251609802246,588.808349609375,7.901529788970947,1.6153208017349243,66.9758529663086,142.89352416992188,58.37712860107422,316.06231689453125
2020-01-15,257.5713195800781,30.57245635986328,20.021738052368164,588.2098999023438,7.770792007446289,1.5967382192611694,66.83638763427734,144.230224609375,59.22743606567383,312.9029541015625
2020-01-16,256.3851623535156,30.464921951293945,20.026464462280273,589.3070678710938,7.800171852111816,1.5984586477279663,66.76199340820312,144.44578552246094,60.0941047668457,309.6172180175781
2020-01-17,257.0493469238281,31.250741958618164,19.98390769958496,592.398681640625,7.800171852111816,1.6080940961837769,66.98516845703125,147.11912536621094,60.25762176513672,314.1667175292969
2020-01-18,257.0493469238281,31.250741958618164,19.98390769958496,592.398681640625,7.800171852111816,1.6080940961837769,66.98516845703125,147.11912536621094,60.25762176513672,314.1667175292969
2020-01-19,257.0493469238281,31.250741958618164,19.98390769958496,592.398681640625,7.800171852111816,1.6080940961837769,66.98516845703125,147.11912536621094,60.25762176513672,314.1667175292969
2020-01-20,256.7647399902344,31.697412490844727,19.993362426757812,590.802978515625,7.719379425048828,1.5957058668136597,66.40866088867188,145.8686981201172,59.865177154541016,311.13372802734375
2020-01-21,257.3814697265625,31.523712158203125,19.912975311279297,584.0211791992188,7.659152030944824,1.585726261138916,66.22268676757812,145.39439392089844,59.93058395385742,309.1116638183594
2020-01-22,256.3851623535156,31.366539001464844,20.191974639892578,579.6331787109375,7.6312408447265625,1.5692081451416016,65.78567504882812,144.3595428466797,59.603546142578125,305.69964599609375
2020-01-23,250.9766082763672,31.680871963500977,20.35748291015625,571.4552001953125,7.531350612640381,1.5609492063522339,65.07898712158203,142.9797821044922,59.946937561035156,307.0896911621094
2020-01-24,256.8121643066406,32.417057037353516,20.81144905090332,577.8380126953125,7.5063796043396,1.5678315162658691,65.74846649169922,141.60000610351562,60.58466720581055,314.5457763671875
2020-01-25,256.8121643066406,32.417057037353516,20.81144905090332,577.8380126953125,7.5063796043396,1.5678315162658691,65.74846649169922,141.60000610351562,60.58466720581055,314.5457763671875
2020-01-26,256.8121643066406,32.417057037353516,20.81144905090332,577.8380126953125,7.5063796043396,1.5678315162658691,65.74846649169922,141.60000610351562,60.58466720581055,314.5457763671875
2020-01-27,245.85272216796875,31.51543426513672,20.087942123413086,557.5927124023438,7.299991607666016,1.552001953125,63.6656608581543,136.77078247070312,59.603546142578125,309.9963684082031
2020-01-28,248.36720275878906,31.747045516967773,19.794755935668945,566.1695556640625,7.39767599105835,1.5867588520050049,64.42811584472656,136.25335693359375,59.83247375488281,310.880859375
2020-01-29,255.151611328125,32.036556243896484,19.72382164001465,564.7732543945312,7.405021667480469,1.5967382192611694,64.40951538085938,136.6414031982422,59.55447769165039,311.0072937011719
2020-01-30,251.45103454589844,31.67259979248047,19.255672454833984,561.4822387695312,7.360953330993652,1.5771231651306152,63.69354248046875,135.0029296875,59.2764892578125,313.2820739746094
2020-01-31,241.2506866455078,31.771865844726562,18.514196395874023,550.3123779296875,7.21626091003418,1.5454638004302979,63.619163513183594,134.95980834960938,59.19473648071289,312.0182800292969
